Time (microseconds),Ia,Ib,Ic,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
0.00,-0.0970199257135391,-0.150868788361549,-0.0703370198607445,0,0,-0.0350627340376377,-0.0281757526099682
5555.56,-0.0953425019979477,-0.17173558473587,-0.0589768849313259,0,0,-0.0390014350414276,0.0538044758141041
11111.11,-0.111204572021961,-0.146087974309921,-0.0582854934036732,0,0,0.0262373518198729,0.0429362766444683
16666.67,-0.0635853484272957,-0.156171292066574,-0.068497009575367,0,0,0.0179427359253168,-0.0586207062005997
22222.22,-0.0899885445833206,-0.109945178031921,-0.0709268897771835,0,0,-0.016741506755352,-0.0169861223548651
27777.78,-0.087775930762291,-0.108906909823418,-0.0443485900759697,0,0,-0.0317590832710266,0.0166673175990582
33333.33,-0.129254400730133,-0.1652851998806,-0.0928254798054695,0,0,0.026611614972353,0.029011582955718
38888.89,-0.100703112781048,-0.149774268269539,-0.0740503668785095,0,0,0.028160572052002,-0.0359477549791336
44444.44,-0.132878974080086,-0.159758627414703,-0.0855877846479416,0,0,-0.0234445910900831,-0.0364739336073399
50000.00,-0.0894061252474785,-0.147853270173073,-0.0498637780547142,0,0,-0.0381715148687363,0.0408887937664986
55555.56,-0.0875632017850876,-0.16359056532383,-0.0560810677707195,0,0,0.0534460097551346,0.0373296476900578
61111.11,-0.0834386944770813,-0.118442885577679,-0.0793980732560158,0,0,0.0105951353907585,-0.021592915058136
66666.67,-0.108921781182289,-0.109721474349499,-0.0506193153560162,0,0,-0.00711249932646751,-0.0385403968393803
72222.22,-0.112182751297951,-0.142417043447495,-0.0484908111393452,0,0,-0.0468086339533329,0.0255532190203667
77777.78,-0.114000841975212,-0.144621327519417,-0.0641037151217461,0,0,0.0242241937667131,0.0408767312765121
83333.33,-0.103919893503189,-0.152833223342896,-0.0729958638548851,0,0,0.0308288559317589,-0.0347869470715523
88888.89,-0.109045438468456,-0.159735500812531,-0.0713207051157951,0,0,-0.0346808321774006,-0.036988653242588
94444.44,-0.103864327073097,-0.121094651520252,-0.0746754184365273,0,0,-0.0229077041149139,0.0162870902568102
