Time (microseconds),Controller.Vd_Ref,Controller.Vq_Ref,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
0.00,0.20026470720768,-0.197386026382446,0.5,-0.5,0.677211761474609,-0.418967127799988
208125.00,0.201393932104111,-0.196202114224434,0.5,-0.5,0.47440230846405,-0.585843443870544
416250.00,0.201302886009216,-0.19610632956028,0.5,-0.5,0.474287003278732,-0.576065003871918
624375.00,0.201160743832588,-0.195773258805275,0.5,-0.5,0.478668630123138,-0.604805111885071
832500.00,0.201230376958847,-0.195518955588341,0.5,-0.5,0.445512294769287,-0.619223356246948
1040625.00,0.201152488589287,-0.195355519652367,0.5,-0.5,0.442185014486313,-0.618587493896484
1248750.00,0.201307818293571,-0.194906502962112,0.5,-0.5,0.402437388896942,-0.666070580482483
1456875.00,0.200716271996498,-0.194842144846916,0.5,-0.5,0.483905494213104,-0.651221334934235
1665000.00,0.200577735900879,-0.194532290101051,0.5,-0.5,0.488552033901215,-0.67598158121109
1873125.00,0.200543344020844,-0.194310814142227,0.5,-0.5,0.479297459125519,-0.686253666877747
2081250.00,0.200389221310616,-0.194427207112312,0.5,-0.5,0.490065068006516,-0.638942956924438
2289375.00,0.199184626340866,-0.19538901746273,0.5,-0.5,0.677982747554779,-0.450513899326324
2497500.00,0.198932841420174,-0.195843353867531,0.5,-0.5,0.710071504116058,-0.347293883562088
2705625.00,0.199835985898972,-0.194738194346428,0.5,-0.5,0.548941016197205,-0.500959396362305
2913750.00,0.199607834219933,-0.194443807005882,0.5,-0.5,0.574285328388214,-0.523682057857513
3121875.00,0.199854865670204,-0.194203764200211,0.5,-0.5,0.522736549377441,-0.537565469741821
3330000.00,0.199749201536179,-0.193910285830498,0.5,-0.5,0.527671992778778,-0.55823165178299
3538125.00,0.199905470013618,-0.193791940808296,0.5,-0.5,0.507558405399323,-0.538259148597717
3746250.00,0.199894279241562,-0.193341061472893,0.5,-0.5,0.480825275182724,-0.600381910800934
3954375.00,0.199594497680664,-0.192919492721558,0.5,-0.5,0.513943016529083,-0.645916521549225
4162500.00,0.199343994259834,-0.192851826548576,0.5,-0.5,0.544256329536438,-0.630422055721283
4370625.00,0.19930300116539,-0.192938283085823,0.5,-0.5,0.542191922664642,-0.586955547332764
4578750.00,0.199297532439232,-0.192835956811905,0.5,-0.5,0.533018052577972,-0.576006472110748
4786875.00,0.198886647820473,-0.192752346396446,0.5,-0.5,0.592553734779358,-0.562488317489624
4995000.00,0.198622286319733,-0.1929911673069,0.5,-0.5,0.63317596912384,-0.492854475975037
