Time (seconds),Controller.Vd_Ref,Controller.Vq_Ref,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
0.000000,0.912125825881958,-1.0018435716629,0.5,-0.5,-0.0115335881710052,0.0252519603818655
0.208125,0.911668360233307,-1.00200247764587,0.5,-0.5,-0.00390998646616936,0.0278997030109167
0.416250,0.911820471286774,-1.00434911251068,0.5,-0.5,-0.00644474755972624,0.0670095235109329
0.624375,0.910430610179901,-1.004310131073,0.5,-0.5,0.0167194530367851,0.0663605779409409
0.832500,0.910437345504761,-1.0016633272171,0.5,-0.5,0.0166074652224779,0.022247351706028
1.040625,0.909190595149994,-1.00236451625824,0.5,-0.5,0.0373867526650429,0.0339338444173336
1.248750,0.911786317825317,-1.00096356868744,0.5,-0.5,-0.00587593298405409,0.0105837266892195
1.456875,0.911502301692963,-1.00174009799957,0.5,-0.5,-0.00033445906592533,0.0235266052186489
1.665000,0.912600696086884,-1.00429916381836,0.5,-0.5,-0.0194487329572439,0.0661779195070267
1.873125,0.910828471183777,-1.00588202476501,0.5,-0.5,0.0100888963788748,0.092557966709137
2.081250,0.909930825233459,-1.00337553024292,0.5,-0.5,0.0250490419566631,0.0507834851741791
2.289375,0.908029496669769,-1.002197265625,0.5,-0.5,0.056738406419754,0.0311459004878998
2.497500,0.911960422992706,-1.00415909290314,0.5,-0.5,-0.00877693388611078,0.0638428777456284
2.705625,0.911411285400391,-1.00262224674225,0.5,-0.5,0.000375337898731232,0.0382282845675945
2.913750,0.912265956401825,-1.00253260135651,0.5,-0.5,-0.0143091138452291,0.0382794104516506
3.121875,0.909023642539978,-1.00235819816589,0.5,-0.5,0.0401688516139984,0.0338281504809856
3.330000,0.91052371263504,-1.00189650058746,0.5,-0.5,0.0151680614799261,0.0261323414742947
3.538125,0.911623239517212,-1.00238955020905,0.5,-0.5,-0.00315788714215159,0.0343514941632748
3.746250,0.910864293575287,-1.00249981880188,0.5,-0.5,0.00949129741638899,0.036187969148159
3.954375,0.911937355995178,-1.0024733543396,0.5,-0.5,-0.00839258916676044,0.035747155547142
4.162500,0.91073739528656,-1.00347125530243,0.5,-0.5,0.0116069158539176,0.0523799322545528
4.370625,0.909539580345154,-1.00632178783417,0.5,-0.5,0.0315702073276043,0.099887803196907
4.578750,0.911050498485565,-1.00418257713318,0.5,-0.5,0.00638841232284904,0.0642338842153549
4.786875,0.911340951919556,-1.00268054008484,0.5,-0.5,0.00154699641279876,0.0391995720565319
4.995000,0.909885942935944,-1.00157904624939,0.5,-0.5,0.0257974676787853,0.0208427906036377
5.203125,0.909586548805237,-1.00290465354919,0.5,-0.5,0.0307869464159012,0.0429351478815079
5.411250,0.911418199539185,-1.00225579738617,0.5,-0.5,0.000259635969996452,0.032122191041708
5.619375,0.90897923707962,-1.00366508960724,0.5,-0.5,0.0409091785550117,0.0556103400886059
5.827500,0.910048723220825,-1.00239408016205,0.5,-0.5,0.0230845268815756,0.0344271101057529
6.035625,0.910052478313446,-1.00343191623688,0.5,-0.5,0.0230214260518551,0.0517240539193153
6.243750,0.909959852695465,-1.00439763069153,0.5,-0.5,0.0245652869343758,0.0678196176886559
6.451875,0.910846173763275,-1.00266933441162,0.5,-0.5,0.00979336723685265,0.0390137434005737
6.660000,0.91126811504364,-1.00462675094604,0.5,-0.5,0.00276077818125486,0.0716382190585136
6.868125,0.910332441329956,-1.00273764133453,0.5,-0.5,0.0183558128774166,0.0401520431041718
7.076250,0.912416458129883,-1.00214540958405,0.5,-0.5,-0.0163775123655796,0.0302824899554253
7.284375,0.910240590572357,-1.00255656242371,0.5,-0.5,0.0198865421116352,0.0371334552764893
7.492500,0.909622311592102,-1.0024836063385,0.5,-0.5,0.0301913227885962,0.0359185859560966
7.700625,0.911501288414001,-1.00238001346588,0.5,-0.5,-0.00112553313374519,0.034191869199276
7.908750,0.912001311779022,-1.00354814529419,0.5,-0.5,-0.00945841148495674,0.0536605715751648
8.116875,0.911349713802338,-1.00282096862793,0.5,-0.5,0.00140070298220962,0.0415404625236988
8.325000,0.910191416740417,-1.0031350851059,0.5,-0.5,0.0207056477665901,0.046776544302702
8.533125,0.911200642585754,-1.00447738170624,0.5,-0.5,0.0038861483335495,0.0691473037004471
8.741250,0.910898447036743,-1.00244414806366,0.5,-0.5,0.00892223976552486,0.035259835422039
8.949375,0.911996483802795,-1.00316882133484,0.5,-0.5,-0.00937877595424652,0.0473394505679607
9.157500,0.913426280021667,-1.00062441825867,0.5,-0.5,-0.0332081727683544,0.00493190204724669
9.365625,0.910602390766144,-1.00257217884064,0.5,-0.5,0.0138564072549343,0.0373952835798264
9.573750,0.912507474422455,-1.00333595275879,0.5,-0.5,-0.0178950130939484,0.050123929977417
9.781875,0.91170734167099,-1.00276482105255,0.5,-0.5,-0.00455961003899574,0.040605004876852
9.990000,0.910210907459259,-1.00337159633636,0.5,-0.5,0.0203810781240463,0.050718292593956
10.198125,0.91165691614151,-1.00396633148193,0.5,-0.5,-0.00371904810890555,0.0606304332613945
10.406250,0.910264670848846,-1.00284886360168,0.5,-0.5,0.0194853618741035,0.0420051962137222
10.614375,0.909954726696014,-1.0023387670517,0.5,-0.5,0.0244059097021818,0.0338096916675568
10.822500,0.913329899311066,-1.00192987918854,0.5,-0.5,-0.0316018536686897,0.0266899801790714
11.030625,0.913234293460846,-1.00312519073486,0.5,-0.5,-0.03000857681036,0.0466123521327972
11.238750,0.910224616527557,-1.00227439403534,0.5,-0.5,0.0201529711484909,0.0324318371713161
11.446875,0.912370145320892,-1.00188291072845,0.5,-0.5,-0.0156056843698025,0.0259072482585907
