Time (microseconds),Ia,Controller.Vd_Ref,Controller.Vq_Ref,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
0.00,0.00965180899947882,0,0,1,-0.699999988079071,0,-0.725744128227234
104166.67,-0.0274049192667007,0,0,1,-0.699999988079071,0,-0.746292471885681
208333.33,-0.014828709885478,0,0,1,-0.699999988079071,0,-0.701883554458618
312500.00,0.00777255278080702,0,0,1,-0.699999988079071,0,0
416666.67,0.0238464139401913,0,0,1,-0.699999988079071,0,0
520833.33,0.0535857900977135,0,0,1,-0.699999988079071,0,0
625000.00,0.00736580695956945,0,0,1,-0.699999988079071,0,0
729166.67,-0.0726222842931747,0,0,1,-0.699999988079071,0,0
833333.33,-0.0596349835395813,0,0,1,-0.699999988079071,0,0
937500.00,-0.0301492158323526,0,0,1,-0.699999988079071,0,0
1041666.67,0.0113892490044236,0,0,1,-0.699999988079071,0,0
1145833.33,0.0229811947792768,0,0,1,-0.699999988079071,0,0
1250000.00,-0.0172156617045403,0,0,1,-0.699999988079071,0,0
1354166.67,0.00657824240624905,0,0,1,-0.699999988079071,0,0
1458333.33,-0.00603895261883736,0,0,1,-0.699999988079071,0,0
1562500.00,0.0360591374337673,0,0,1,-0.699999988079071,0,0
1666666.67,-0.0580334886908531,0,0,1,-0.699999988079071,0,0
1770833.33,-0.0109967775642872,0,0,1,-0.699999988079071,0,0
1875000.00,0.0513464733958244,0,0,1,-0.699999988079071,0,0
1979166.67,0.0282122138887644,0,0,1,-0.699999988079071,0,0
2083333.33,0.0370666831731796,0,0,1,-0.699999988079071,0,0
2187500.00,0.00909008178859949,0,0,1,-0.699999988079071,0,0
2291666.67,-0.00391214527189732,0,0,1,-0.699999988079071,0,0
2395833.33,0.0316385701298714,0,0,1,-0.699999988079071,0,0
2500000.00,-0.05356515198946,0,0,1,-0.699999988079071,0,0
2604166.67,0.00353079941123724,0,0,1,-0.699999988079071,0,0
2708333.33,0.0517671816051006,0,0,1,-0.699999988079071,0,0
2812500.00,-0.0365873277187347,0,0,1,-0.699999988079071,0,0
2916666.67,0.0485127791762352,0,0,1,-0.699999988079071,0,0
3020833.33,-0.061782993376255,0,0,1,-0.699999988079071,0,0
3125000.00,-0.0210101809352636,0,0,1,-0.699999988079071,0,0
3229166.67,0.00512883299961686,0,0,1,-0.699999988079071,0,0
3333333.33,-0.0274674966931343,0,0,1,-0.699999988079071,0,0
3437500.00,0.00675093149766326,0,0,1,-0.699999988079071,0,0
3541666.67,-0.0356454998254776,0,0,1,-0.699999988079071,0,0
3645833.33,2.56675411947072E-06,0,0,1,-0.699999988079071,0,0
