Time (microseconds),Controller.Theta,Controller.Theta_Ref,Ic,Ia,Ib,Controller.Ibet,Controller.Iq,Controller.Id
0.00,5.94807958602905,13130520,-0.324024945497513,0.132362976670265,-0.124449983239174,0.152856528759003,0.214166924357414,0.150211453437805
125.00,5.98996734619141,13242566,-0.332249283790588,0.129870802164078,-0.140464588999748,0.11248105764389,0.177195340394974,0.197734758257866
250.00,5.98996734619141,13242566,-0.337323009967804,0.129673883318901,-0.138484850525856,0.11248105764389,0.177195340394974,0.197734758257866
375.00,6.03185510635376,13354689,-0.339059293270111,0.129512906074524,-0.127097979187965,0.11479926109314,0.172131985425949,0.208799287676811
500.00,6.03185510635376,13354689,-0.335794717073441,0.129320174455643,-0.129761889576912,0.11479926109314,0.172131985425949,0.208799287676811
625.00,6.07374286651611,13466413,-0.329513192176819,0.128970146179199,-0.173000544309616,0.118953101336956,0.166543245315552,0.211390569806099
750.00,6.11563062667847,13578412,-0.323363929986954,0.126188993453979,-0.221133217215538,0.0686149448156357,0.111376911401749,0.24706406891346
875.00,6.11563062667847,13578412,-0.317518323659897,0.122301809489727,-0.249715715646744,0.0686149448156357,0.111376911401749,0.24706406891346
1000.00,6.15751838684082,13690132,-0.311911225318909,0.119338683784008,-0.255354315042496,0.0333857759833336,0.066954493522644,0.263619214296341
1125.00,6.15751838684082,13690132,-0.308530002832413,0.117496684193611,-0.242531672120094,0.0333857759833336,0.066954493522644,0.263619214296341
1250.00,6.19940614700317,13802091,-0.305655390024185,0.119568593800068,-0.216343522071838,0.0464532189071178,0.0677613317966461,0.251799166202545
1375.00,6.19940614700317,13802091,-0.301540553569794,0.125314965844154,-0.182850539684296,0.0464532189071178,0.0677613317966461,0.251799166202545
1500.00,6.24129390716553,13913650,-0.29633954167366,0.131956666707993,-0.150239989161491,0.0741467475891113,0.0842262208461761,0.238946720957756
1625.00,6.24129390716553,13913650,-0.289054602384567,0.137241885066032,-0.124620497226715,0.0741467475891113,0.0842262208461761,0.238946720957756
1750.00,6.28318166732788,14025639,-0.281372606754303,0.13882152736187,-0.111736923456192,0.0967818722128868,0.0967827215790749,0.227245539426804
1875.00,6.28318166732788,14025639,-0.276371687650681,0.1359593719244,-0.11284513771534,0.0967818722128868,0.0967827215790749,0.227245539426804
2000.00,0,14025639,-0.271756052970886,0.133318707346916,-0.123947381973267,0.094412088394165,0.094412088394165,0.220378518104553
2125.00,0,14025639,-0.267473429441452,0.132303074002266,-0.140751302242279,0.094412088394165,0.094412088394165,0.220378518104553
2250.00,0.0418879054486752,14137730,-0.26592344045639,0.131723076105118,-0.155871316790581,0.0731630474328995,0.0637059658765793,0.227139830589294
2375.00,0.0418879054486752,14137730,-0.270183175802231,0.134737372398376,-0.165916740894318,0.0601982474327087,0.0403063595294952,0.239401370286942
2500.00,0.0837758108973503,14249540,-0.275768339633942,0.14012898504734,-0.171948060393333,0.0601982474327087,0.0403063595294952,0.239401370286942
2625.00,0.125663712620735,14361454,-0.276764571666718,0.144247189164162,-0.174852818250656,0.0594794973731041,0.0282106567174196,0.251254022121429
2750.00,0.125663712620735,14361454,-0.26944425702095,0.149065539240837,-0.174261435866356,0.0594794973731041,0.0282106567174196,0.251254022121429
2875.00,0.167551621794701,14473242,-0.257855355739594,0.150105804204941,-0.175551399588585,0.0504832863807678,0.00880132615566254,0.250672549009323
3000.00,0.167551621794701,14473242,-0.242729961872101,0.148177668452263,-0.181320369243622,0.0504832863807678,0.00880132615566254,0.250672549009323
3125.00,0.209439530968666,14584909,-0.225877046585083,0.145773530006409,-0.188255175948143,0.0309203565120697,-0.0193337444216013,0.239676147699356
3250.00,0.209439530968666,14584909,-0.210357487201691,0.145365074276924,-0.196110680699348,0.0309203565120697,-0.0193337444216013,0.239676147699356
3375.00,0.25132742524147,14697120,-0.196676641702652,0.149925544857979,-0.204719558358192,0.0038553774356842,-0.0540541373193264,0.226029425859451
3500.00,0.25132742524147,14697120,-0.18474768102169,0.15686422586441,-0.211809813976288,0.0038553774356842,-0.0540541373193264,0.226029425859451
3625.00,0.293215334415436,14809132,-0.175703123211861,0.164177447557449,-0.215731918811798,-0.0186026599258184,-0.0865306556224823,0.222241789102554
3750.00,0.293215334415436,14809132,-0.169956356287003,0.174892112612724,-0.21402633190155,-0.0186026599258184,-0.0865306556224823,0.222241789102554
3875.00,0.335103243589401,14920731,-0.166592806577682,0.184283927083015,-0.212545484304428,-0.0254438128322363,-0.104464009404182,0.222612842917442
4000.00,0.335103243589401,14920731,-0.160954535007477,0.188223257660866,-0.214203879237175,-0.0254438128322363,-0.104464009404182,0.222612842917442
4125.00,0.376991152763367,15032863,-0.13565793633461,0.189319089055061,-0.219019114971161,-0.0307435300201178,-0.120810858905315,0.221620708703995
4250.00,0.418879061937332,15144806,-0.107709772884846,0.183031007647514,-0.231252506375313,-0.0638492554426193,-0.155190676450729,0.19158598780632
4375.00,0.418879061937332,15144806,-0.0898487791419029,0.173783779144287,-0.242884367704391,-0.0638492554426193,-0.155190676450729,0.19158598780632
4500.00,0.460766971111298,15256327,-0.0796536579728127,0.166799262166023,-0.245909795165062,-0.0945091843605042,-0.183361023664474,0.15682789683342
4625.00,0.460766971111298,15256327,-0.0756503567099571,0.160277664661407,-0.242630794644356,-0.0945091843605042,-0.183361023664474,0.15682789683342
4750.00,0.502654850482941,15368298,-0.0726294219493866,0.158383026719093,-0.237051770091057,-0.0956125408411026,-0.184818178415298,0.137715876102448
4875.00,0.502654850482941,15368298,-0.0735437273979187,0.156835079193115,-0.234651058912277,-0.0956125408411026,-0.184818178415298,0.137715876102448
5000.00,0.544542729854584,15480404,-0.0728681012988091,0.152975052595139,-0.237156674265862,-0.0932613834738731,-0.186785280704498,0.128390416502953
5125.00,0.544542729854584,15480404,-0.0709637477993965,0.152676686644554,-0.238192588090897,-0.0932613834738731,-0.186785280704498,0.128390416502953
