Time (microseconds),Val,Vbet,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq,AuxD,AuxQ
0.00,0.339641243219376,0.324727028608322,1,-1,1.21881020069122,-1.02535378932953,2.35179662704468,2.15470790863037
83333.33,0.324429512023926,-0.341384738683701,1,-1,0.947646975517273,-1.24460482597351,2.35078907012939,2.15576505661011
166666.67,-0.340358883142471,-0.327338099479675,1,-1,1.01470685005188,-1.24017643928528,2.34975576400757,2.1566481590271
250000.00,-0.323910534381866,0.336743503808975,1,-1,1.14824748039246,-1.14035713672638,2.34883737564087,2.15749001502991
333333.33,0.341239750385284,0.32387438416481,1,-1,1.3605010509491,-0.740202069282532,2.34827613830566,2.15885758399963
416666.67,0.451752990484238,-0.130455538630486,1,-1,1.22090649604797,-1.03362488746643,2.34742760658264,2.1599326133728
500000.00,-0.131240010261536,-0.454835206270218,1,-1,0.928970515727997,-1.28581285476685,2.34640502929688,2.16091871261597
583333.33,-0.454537600278854,0.128969490528107,1,-1,1.0363312959671,-1.24590218067169,2.3453209400177,2.16183376312256
666666.67,0.126479342579842,0.430819779634476,1,-1,1.3354115486145,-0.959558844566345,2.34464406967163,2.16306209564209
750000.00,0.470576286315918,-0.00941038131713867,1,-1,1.16100823879242,-1.06982481479645,2.34387564659119,2.16449046134949
833333.33,0.116721883416176,-0.457694470882416,1,-1,1.22302031517029,-1.08505797386169,2.34267163276672,2.16555738449097
916666.67,-0.457845687866211,-0.11437264084816,1,-1,0.961926221847534,-1.26511740684509,2.3416063785553,2.16648435592651
1000000.00,-0.112521052360535,0.447256654500961,1,-1,1.14172792434692,-1.15416705608368,2.34071397781372,2.16750454902649
1083333.33,0.41285651922226,0.229067713022232,1,-1,1.08251762390137,-1.16781461238861,2.34011149406433,2.16903710365295
1166666.67,0.230896353721619,-0.413746684789658,1,-1,1.10841155052185,-1.1248584985733,2.3391535282135,2.17014145851135
