Time (seconds),Controller.Vd_Ref,Controller.Vq_Ref,Ic,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq,V_DC
0.000000,0.0259454641491175,0.0306014604866505,2.3904447555542,0.800000011920929,5,-0.145906209945679,3.90289163589478,30.7993392944336
0.208125,0.0332969054579735,0.0887010470032692,2.23528456687927,0.800000011920929,5,-0.159296631813049,2.47422027587891,26.4116363525391
0.416250,0.0296496003866196,0.0930297300219536,-0.567300498485565,0.800000011920929,5,-0.00755810737609863,2.42674160003662,28.1501560211182
0.624375,0.0372271686792374,0.114663250744343,-2.5747447013855,0.800000011920929,5,0.0263559818267822,2.57859969139099,23.60302734375
0.832500,0.0398067831993103,0.101679004728794,-0.26423916220665,0.800000011920929,5,-0.0402220487594604,3.01279807090759,25.2283134460449
1.040625,0.0385390967130661,0.114127263426781,2.59184670448303,0.800000011920929,5,0.0348658859729767,2.73411870002747,26.1944789886475
1.248750,0.0410009101033211,0.127474322915077,1.47303402423859,0.800000011920929,5,0.109565332531929,2.76665759086609,24.6980304718018
1.456875,0.0415302738547325,0.120605491101742,-2.23289704322815,0.800000011920929,5,0.103714466094971,3.00284481048584,25.8939456939697
1.665000,0.0414462275803089,0.120941065251827,-2.66676163673401,0.800000011920929,5,0.236217141151428,3.36009240150452,24.9688491821289
1.873125,0.036014586687088,0.12016087025404,1.33709466457367,0.800000011920929,5,0.38855242729187,3.30542826652527,26.7811279296875
2.081250,0.05190309882164,0.127251446247101,3.2692437171936,0.800000011920929,5,-0.00205755233764648,3.42802953720093,25.6960754394531
2.289375,0.0486170426011086,0.126075923442841,-0.31196916103363,0.800000011920929,5,0.179797768592834,3.67596650123596,25.4496459960938
2.497500,0.044129054993391,0.144187927246094,-3.41713905334473,0.800000011920929,5,0.444990992546082,3.48093128204346,24.3216381072998
2.705625,0.0411755703389645,0.132662534713745,-1.21923041343689,0.800000011920929,5,0.508924603462219,3.71771645545959,26.0607662200928
2.913750,0.0472583957016468,0.14478100836277,3.10788655281067,0.800000011920929,5,0.384093850851059,3.53472757339478,25.7089328765869
3.121875,0.0557311177253723,0.144086942076683,2.20517063140869,0.800000011920929,5,0.140700131654739,3.62979602813721,26.0532417297363
3.330000,0.051021683961153,0.158532470464706,-2.21239304542542,0.800000011920929,5,0.419058442115784,3.5379490852356,24.7788848876953
3.538125,0.05237952247262,0.154064863920212,-3.11207699775696,0.800000011920929,5,0.355361580848694,3.59803700447083,26.0353679656982
3.746250,0.0474487133324146,0.148419916629791,1.16630589962006,0.800000011920929,5,0.544401884078979,3.8525652885437,26.2318897247314
3.954375,0.0473123900592327,0.140002995729446,3.85347485542297,0.800000011920929,5,0.443492293357849,3.80652475357056,28.4435195922852
4.162500,0.0464559458196163,0.152844369411469,0.588746547698975,0.800000011920929,5,0.774608135223389,4.30193710327148,24.3661670684814
4.370625,0.0677440539002419,0.145986944437027,-4.22385787963867,0.800000011920929,5,0.0264983177185059,4.29615306854248,26.1055355072021
4.578750,0.0561543405056,0.156406953930855,-1.50152635574341,0.800000011920929,5,0.403359323740005,3.97069716453552,26.5831718444824
4.786875,0.0652457401156425,0.158444225788116,3.44987893104553,0.800000011920929,5,0.123268768191338,3.9557101726532,26.6877822875977
4.995000,0.0746468901634216,0.169644728302956,2.76751565933228,0.800000011920929,5,0.0885491371154785,4.22339200973511,23.9788932800293
5.203125,0.0637798607349396,0.168256089091301,-2.35138511657715,0.800000011920929,5,0.30217707157135,3.97553372383118,25.8696937561035
5.411250,0.0595229379832745,0.171964511275291,-3.76864337921143,0.800000011920929,5,0.526466250419617,4.09683179855347,25.1435527801514
5.619375,0.0564139746129513,0.16725817322731,0.913377702236176,0.800000011920929,5,0.577396273612976,4.10033702850342,26.2471599578857
5.827500,0.0890004262328148,0.207793563604355,4.03978252410889,0.800000011920929,5,0.0628136396408081,4.05816078186035,21.6268634796143
6.035625,0.0719618126749992,0.171442613005638,0.359330147504807,0.800000011920929,5,0.190116167068481,4.24852657318115,25.5696258544922
6.243750,0.0743372738361359,0.157415151596069,-4.45051765441895,0.800000011920929,5,0.0598083734512329,4.57566261291504,26.662712097168
6.451875,0.0570278130471706,0.18027351796627,-2.15953397750854,0.800000011920929,5,0.708956241607666,4.08645343780518,25.582088470459
6.660000,0.0517207570374012,0.186650842428207,2.8260772228241,0.800000011920929,5,0.880472958087921,3.87973833084106,25.8323841094971
6.868125,0.0572490841150284,0.19820448756218,3.43236088752747,0.800000011920929,5,0.856580495834351,4.01242160797119,23.9734859466553
7.076250,0.0674090012907982,0.17133817076683,-2.17948007583618,0.800000011920929,5,0.392632842063904,4.3902759552002,26.1716232299805
7.284375,0.070514440536499,0.157411739230156,-4.60755443572998,0.800000011920929,5,0.363778591156006,4.99360609054565,25.8220462799072
7.492500,0.0653898268938065,0.163996458053589,0.751321613788605,0.800000011920929,5,0.566686391830444,4.88911056518555,25.3908233642578
7.700625,0.0531253628432751,0.149725258350372,4.52289962768555,0.800000011920929,5,0.637207269668579,4.45193910598755,30.7150764465332
7.908750,0.0590465143322945,0.166330724954605,1.4068523645401,0.800000011920929,5,0.808256506919861,4.92078018188477,25.3705635070801
8.116875,0.0703171342611313,0.179999753832817,-4.15583753585815,0.800000011920929,5,0.471250593662262,4.53671836853027,25.4282093048096
8.325000,0.0430868454277515,0.160726562142372,-3.19663596153259,0.800000011920929,5,1.20202255249023,4.65214109420776,27.9025573730469
8.533125,0.051627229899168,0.182125076651573,3.06649780273438,0.800000011920929,5,1.13561034202576,4.70052671432495,24.6726875305176
8.741250,0.0699318945407867,0.177699744701385,4.08040904998779,0.800000011920929,5,0.578829050064087,4.83597087860107,24.8367214202881
8.949375,0.0671371668577194,0.176452413201332,-1.81356525421143,0.800000011920929,5,0.690699338912964,4.93195772171021,24.7972774505615
9.157500,0.0803479626774788,0.169752582907677,-4.80591011047363,0.800000011920929,5,0.256138324737549,5.07269382476807,25.1823978424072
9.365625,0.0652155354619026,0.181672975420952,0.108054757118225,0.800000011920929,5,0.75188946723938,4.76971340179443,24.9936981201172
9.573750,0.0837794169783592,0.183929681777954,4.73892593383789,0.800000011920929,5,0.203894138336182,4.75570297241211,24.8396377563477
9.781875,0.054888553917408,0.186954140663147,2.0574414730072,0.800000011920929,5,1.08846068382263,4.63279438018799,25.1666603088379
9.990000,0.0620574057102203,0.174221843481064,-4.07657718658447,0.800000011920929,5,0.777013659477234,4.76176309585571,26.1232986450195
10.198125,0.0685097500681877,0.180566281080246,-3.17791891098022,0.800000011920929,5,0.705145239830017,4.91490459442139,24.9324150085449
10.406250,0.0492771193385124,0.192646563053131,2.40576457977295,0.800000011920929,5,1.27385973930359,4.43722438812256,25.4631271362305
10.614375,0.0805183723568916,0.208771511912346,4.20670890808105,0.800000011920929,5,0.595223426818848,4.7123384475708,22.7077751159668
10.822500,0.0740363225340843,0.167835235595703,-1.76334941387177,0.800000011920929,5,0.528735399246216,5.27872848510742,25.2457752227783
11.030625,0.0724193528294563,0.190921902656555,-4.48357391357422,0.800000011920929,5,0.573673009872437,4.54334545135498,25.3792362213135
11.238750,0.0659221261739731,0.178890407085419,-0.377627521753311,0.800000011920929,5,0.847538590431213,5.09245157241821,24.7979526519775
11.446875,0.0944685861468315,0.177069664001465,5.4546971321106,0.800000011920929,5,0.155365347862244,5.48980903625488,23.4031085968018
11.655000,0.0871317610144615,0.172615900635719,1.65842795372009,0.800000011920929,5,0.120313882827759,5.13526296615601,25.6517105102539
11.863125,0.0473891794681549,0.194783702492714,-3.36448931694031,0.800000011920929,5,1.43197107315063,4.62337589263916,24.9225769042969
12.071250,0.0545725002884865,0.169788688421249,-3.91779255867004,0.800000011920929,5,1.10812258720398,5.05540370941162,26.5230731964111
12.279375,0.055409412831068,0.190245062112808,2.3513560295105,0.800000011920929,5,1.20485854148865,4.80511808395386,24.4880199432373
12.487500,0.0649895071983337,0.193359032273293,4.36238574981689,0.800000011920929,5,0.857539653778076,4.54340934753418,25.5130825042725
12.695625,0.0820862129330635,0.215883374214172,-1.02277088165283,0.800000011920929,5,0.488547205924988,4.28608989715576,23.989990234375
12.903750,0.080294631421566,0.195834010839462,-4.57471561431885,0.800000011920929,5,0.436956763267517,4.61133670806885,25.1214580535889
13.111875,0.04496930539608,0.182063087821007,-1.34651696681976,0.800000011920929,5,1.3996148109436,4.48133182525635,27.5385723114014
13.320000,0.0567671805620193,0.209935829043388,3.99585485458374,0.800000011920929,5,1.20781052112579,4.30341053009033,24.7663955688477
13.528125,0.0751185938715935,0.185445740818977,2.32610964775085,0.800000011920929,5,0.521741569042206,4.75979900360107,26.1858177185059
13.736250,0.0817229151725769,0.200123205780983,-3.61424827575684,0.800000011920929,5,0.441372513771057,4.57533693313599,24.9262046813965
13.944375,0.0816424340009689,0.184370964765549,-3.64717316627502,0.800000011920929,5,0.415444135665894,4.98544073104858,25.242338180542
14.152500,0.0673781782388687,0.187701836228371,2.25234222412109,0.800000011920929,5,0.847090363502502,4.83846712112427,25.510232925415
14.360625,0.0900043100118637,0.202296003699303,4.56641578674316,0.800000011920929,5,0.352942705154419,4.86307573318481,23.5816211700439
14.568750,0.0742888823151588,0.172826245427132,-0.762771844863892,0.800000011920929,5,0.575464487075806,5.16085958480835,26.2395572662354
14.776875,0.0744008794426918,0.205679431557655,-4.64686059951782,0.800000011920929,5,0.762690901756287,4.62034225463867,24.1902389526367
14.985000,0.0603543780744076,0.177828475832939,-1.32011258602142,0.800000011920929,5,0.911984741687775,4.64543294906616,28.0343551635742
