Time (microseconds),Controller.Theta,Theta_Aux_No_Use,Controller.Id,Controller.Iq
0.00,3.60306525230408,13701380,0.804169952869415,0.120955750346184
833.33,3.65453267097473,13841190,0.802918314933777,0.114242926239967
1666.67,3.73473978042603,14050905,0.796974182128906,0.120269536972046
2500.00,3.78726601600647,14190715,0.792225539684296,0.143778145313263
3333.33,3.8370041847229,14330525,0.794302523136139,0.142108157277107
4166.67,3.88735318183899,14470335,0.794547855854034,0.150941610336304
5000.00,3.93832731246948,14610145,0.795645534992218,0.15564538538456
5833.33,3.98811435699463,14749955,0.796982944011688,0.157031297683716
6666.67,4.03809881210327,14889765,0.800678312778473,0.145572781562805
7500.00,4.11854934692383,15099480,0.80204975605011,0.146617010235786
8333.33,4.17490482330322,15239290,0.804172337055206,0.14421671628952
9166.67,4.23008346557617,15379100,0.805132985115051,0.132014364004135
10000.00,4.28881454467773,15518910,0.789295852184296,0.137034147977829
10833.33,4.35120058059692,15658720,0.778732001781464,0.138207763433456
11666.67,4.4128246307373,15798530,0.773190379142761,0.136131674051285
12500.00,4.4734001159668,15938340,0.772257149219513,0.124639511108398
13333.33,4.56525230407715,16148055,0.763914823532104,0.12109163403511
14166.67,4.62299966812134,16287865,0.747573852539063,0.115996122360229
15000.00,4.67775011062622,16427675,0.743518590927124,0.107350826263428
15833.33,4.73174715042114,16567485,0.740889310836792,0.118492513895035
16666.67,4.78500843048096,16707295,0.740301370620728,0.128195822238922
17500.00,4.83580446243286,0,0.74213308095932,0.132765114307404
18333.33,4.88486242294312,139810,0.745650053024292,0.12553745508194
19166.67,4.9606409072876,349525,0.748297095298767,0.129954487085342
20000.00,5.01185750961304,489335,0.754161298274994,0.134257391095161
20833.33,5.06151962280273,629145,0.759758114814758,0.124389290809631
21666.67,5.11412286758423,768955,0.763814628124237,0.127424463629723
22500.00,5.16943454742432,908765,0.768144905567169,0.128144428133965
23333.33,5.22502613067627,1048575,0.772505164146423,0.127470076084137
24166.67,5.28193759918213,1188385,0.767544507980347,0.120897434651852
25000.00,5.37346887588501,1398100,0.757508397102356,0.126900762319565
25833.33,5.43422174453735,1537910,0.752366364002228,0.128837838768959
26666.67,5.49261951446533,1677720,0.755251407623291,0.117780111730099
27500.00,5.55191135406494,1817530,0.757251143455505,0.118784174323082
28333.33,5.61106300354004,1957340,0.759731829166412,0.118770740926266
29166.67,5.66711664199829,2097150,0.762354969978333,0.119082324206829
30000.00,5.72010231018066,2236960,0.765978813171387,0.110760986804962
30833.33,5.79718923568726,2446675,0.768930017948151,0.113193705677986
31666.67,5.84450674057007,2586485,0.773414134979248,0.115441307425499
32500.00,5.88881206512451,2726295,0.776652812957764,0.108645766973495
33333.33,5.93262100219727,2866105,0.779196321964264,0.114999830722809
34166.67,5.97657680511475,3005915,0.78236985206604,0.12098041176796
35000.00,6.01894521713257,3145725,0.784819960594177,0.127176553010941
35833.33,6.06069231033325,3285535,0.787958562374115,0.121897876262665
36666.67,6.12696027755737,3495250,0.790552377700806,0.128140985965729
37500.00,6.17124938964844,3635060,0.796583652496338,0.13274946808815
38333.33,6.2160120010376,3774870,0.796545922756195,0.119317531585693
39166.67,6.26398944854736,3914680,0.795376837253571,0.119866371154785
40000.00,6.31610727310181,4054490,0.79642128944397,0.121122539043427
40833.33,6.36910676956177,4194300,0.79967212677002,0.122334778308868
41666.67,6.42297983169556,4334110,0.803312838077545,0.114246219396591
42500.00,6.50962448120117,4543825,0.806759595870972,0.116539567708969
43333.33,6.56813383102417,4683635,0.817752003669739,0.120474949479103
44166.67,6.62475156784058,4823445,0.824227273464203,0.112787157297134
45000.00,6.68266820907593,4963255,0.829789459705353,0.116028666496277
45833.33,6.74104118347168,5103065,0.833712935447693,0.11793951690197
46666.67,6.79571485519409,5242875,0.834487736225128,0.120507068932056
47500.00,6.84722900390625,5382685,0.835583567619324,0.113871961832047
48333.33,6.92181348800659,5592400,0.835362732410431,0.118897959589958
49166.67,6.96820306777954,5732210,0.826753556728363,0.130970627069473
50000.00,0,5872020,0.822666049003601,0.128310739994049
50833.33,0.33111497759819,6011830,0.817171931266785,0.137572556734085
51666.67,0.528526961803436,6151640,0.808880507946014,0.135971531271935
52500.00,0.6679767370224,6291450,0.800549983978271,0.132428169250488
53333.33,0.774934113025665,6431260,0.796701371669769,0.121649071574211
54166.67,0.904047131538391,6640975,0.793799579143524,0.123707488179207
55000.00,0.97726845741272,6780785,0.795251071453094,0.127929493784904
55833.33,1.04226088523865,6920595,0.798880994319916,0.120071455836296
56666.67,1.10567903518677,7060405,0.803533911705017,0.123550355434418
57500.00,1.16793739795685,7200215,0.809293031692505,0.124367982149124
58333.33,1.22634887695313,7340025,0.815781235694885,0.124974370002747
59166.67,1.28222632408142,7479835,0.823163509368896,0.117566645145416
60000.00,1.36589932441711,7689550,0.831905245780945,0.120598644018173
