Time (microseconds),Ia,Ib,Ic,VAL_RPM,REV_COUNT,Ic_Unfilt,Ib_Unfilt,UN_FILT_VALS
0.00,0.0355573333799839,0.605330228805542,-0.640887558460236,-15.5029296875,61462,-3.15998840332031,0.299995422363281,0.459999084472656
933.33,0.315153867006302,0.460801929235458,-0.77595579624176,-15.5029296875,61462,-0.839996337890625,0.299995422363281,0.6199951171875
1866.67,0.53938364982605,0.260117173194885,-0.799500823020935,-15.5029296875,61462,-0.599990844726563,0.0199966430664063,0.699996948242188
2800.00,0.65474545955658,0.0133374854922295,-0.66808295249939,-15.5029296875,61462,-0.359992980957031,-0.180007934570313,0.739997863769531
3733.33,0.694817841053009,-0.274123638868332,-0.420694202184677,-15.5029296875,61462,-0.359992980957031,-0.580001831054688,0.739997863769531
4666.67,0.716720581054688,-0.504903376102448,-0.21181720495224,-15.5029296875,61462,7.62939453125E-06,-0.740005493164063,0.6199951171875
5600.00,0.704640328884125,-0.634074032306671,-0.0705662965774536,-15.5029296875,61462,0.20001220703125,-0.82000732421875,0.459999084472656
6533.33,0.671457350254059,-0.686268150806427,0.0148108005523682,-15.5029296875,61462,0.32000732421875,-0.980003356933594,0.499992370605469
7466.67,0.588837862014771,-0.722081780433655,0.133243918418884,-15.5029296875,61462,0.520011901855469,-0.580001831054688,0.299995422363281
8400.00,0.448323875665665,-0.754489064216614,0.306165188550949,-15.5029296875,61462,0.600006103515625,-0.540000915527344,0.0199966430664063
9333.33,0.231466248631477,-0.7402463555336,0.508780121803284,-15.5029296875,61462,0.760002136230469,-0.540000915527344,-0.220001220703125
10266.67,-0.0595365725457668,-0.661641418933868,0.721177995204926,-15.5029296875,61462,0.800010681152344,-0.340003967285156,-0.420005798339844
11200.00,-0.320463716983795,-0.518605589866638,0.839069306850433,-15.5029296875,61462,0.640007019042969,-0.3800048828125,-0.580001831054688
12133.33,-0.513281643390656,-0.319029480218887,0.832311153411865,-15.5029296875,61462,0.720008850097656,0.05999755859375,-0.660003662109375
13066.67,-0.608948290348053,-0.106050699949265,0.714998960494995,-15.5029296875,61462,0.240005493164063,0.219993591308594,-0.740005493164063
14000.00,-0.668232023715973,0.115533851087093,0.552698194980621,-15.5029296875,61462,0.240005493164063,0.419998168945313,-0.580001831054688
14933.33,-0.703179359436035,0.339854806661606,0.363324552774429,-15.5029296875,61462,0.040008544921875,0.539993286132813,-0.620002746582031
15866.67,-0.679529249668121,0.486897796392441,0.192631453275681,-15.5029296875,61462,-0.239990234375,0.379997253417969,-3.74000549316406
16800.00,-0.59504646062851,0.585214018821716,0.00983244180679321,-15.5029296875,61462,-0.319992065429688,0.499992370605469,-0.300003051757813
17733.33,-0.459075689315796,0.63868111371994,-0.179605424404144,-15.5029296875,61462,-0.67999267578125,0.699996948242188,-0.140007019042969
18666.67,-0.274031013250351,0.626616835594177,-0.352585822343826,-15.5029296875,61462,-0.639984130859375,0.459999084472656,0.0999984741210938
19600.00,-0.0404315516352654,0.571664214134216,-0.53123265504837,-15.5029296875,61462,-0.599990844726563,0.379997253417969,0.299995422363281
20533.33,0.194622829556465,0.512353956699371,-0.706976771354675,-15.5029296875,61462,-0.719985961914063,0.219993591308594,0.459999084472656
21466.67,0.414750456809998,0.397158563137054,-0.811909019947052,-15.5029296875,61462,-0.479995727539063,-0.0600051879882813,-0.140007019042969
22400.00,0.585702002048492,0.226020157337189,-0.811722159385681,-15.5029296875,61462,0.040008544921875,0.339996337890625,0.779998779296875
23333.33,0.716637909412384,-0.0245019495487213,-0.69213593006134,-15.5029296875,61462,-0.119987487792969,-0.420005798339844,0.779998779296875
24266.67,0.806907653808594,-0.292369574308395,-0.514538049697876,-15.5029296875,61462,-0.0799942016601563,-0.580001831054688,0.0999984741210938
25200.00,0.801988899707794,-0.512265145778656,-0.289723753929138,-15.5029296875,61462,0.040008544921875,-1.06000518798828,0.699996948242188
26133.33,0.733990728855133,-0.623052716255188,-0.110938012599945,-15.5029296875,61462,0.440010070800781,-1.06000518798828,0.499992370605469
27066.67,0.613012313842773,-0.657784342765808,0.0447720289230347,-15.5029296875,61462,0.240013122558594,-0.780006408691406,0.379997253417969
28000.00,0.436652481555939,-0.657301425933838,0.220648944377899,-15.5029296875,61462,1.00000762939453,-0.660003662109375,0.139991760253906
28933.33,0.246350109577179,-0.671494543552399,0.42514443397522,-15.5029296875,61462,1.04000854492188,-0.620002746582031,-0.0200042724609375
29866.67,0.0431685447692871,-0.677831053733826,0.634662508964539,-15.5029296875,61462,0.8800048828125,-0.420005798339844,-0.260002136230469
30800.00,-0.154483884572983,-0.633175253868103,0.787659168243408,-15.5029296875,61462,0.680015563964844,-2.42000579833984,-0.460006713867188
