Time (microseconds),Ia,Ib,Ic,Controller.Ial,Controller.Ibet,Controller.Id,Controller.Iq
0.00,-0.0615783780813217,0.0268569942563772,0.0347213819622993,-0.0579566322267056,-0.00254521030001342,0.0151266036555171,-0.0560053363442421
933.33,-0.0741162449121475,0.0264125447720289,0.0477036982774735,-0.0741007700562477,-0.0120343109592795,0.023477690294385,-0.071305051445961
1866.67,-0.0594366453588009,0.0114773232489824,0.0479593202471733,-0.0618204697966576,-0.0206609405577183,0.0268538556993008,-0.0593917183578014
2800.00,-0.0359278135001659,0.0054340735077858,0.0304937399923801,-0.0402854606509209,-0.0169908013194799,0.0185590237379074,-0.0395868942141533
3733.33,0.0171805825084448,0.0062147225253284,-0.0233953054994345,0.0135320127010345,0.0154341235756874,-0.015219422057271,0.0137725798413157
4666.67,-0.00191582576371729,-0.0130886854603887,0.0150045109912753,0.00162151921540499,-0.0125253926962614,0.0126137770712376,0.000633755698800087
5600.00,-0.057498425245285,-0.0115564959123731,0.0690549239516258,-0.05049117654562,-0.0446048080921173,0.0374859794974327,-0.0559792630374432
6533.33,-0.133496552705765,0.0156013006344438,0.117895253002644,-0.128587320446968,-0.0584791153669357,0.0322691053152084,-0.137525305151939
7466.67,-0.156715273857117,0.0373521037399769,0.11936317384243,-0.159935861825943,-0.0506637692451477,0.00929725542664528,-0.167507618665695
8400.00,-0.111220240592957,0.0400071367621422,0.0712131038308144,-0.114898703992367,-0.0198298916220665,-0.0166461430490017,-0.115400828421116
9333.33,-0.043517854064703,0.035000778734684,0.008517075330019,-0.0549015328288078,0.00955164805054665,-0.0287171918898821,-0.0477566793560982
10266.67,0.00371858081780374,0.025659766048193,-0.0293783470988274,0.0032217726111412,0.0324044786393642,-0.0280787218362093,0.0164921060204506
11200.00,-0.0368803255259991,0.013843210414052,0.0230371151119471,-0.0281564723700285,0.00121294462587684,-0.0142470123246312,-0.0243157297372818
12133.33,-0.0801794156432152,0.00351554527878761,0.0766638666391373,-0.078316830098629,-0.0408325009047985,-0.00610504671931267,-0.0881099328398705
13066.67,-0.088808037340641,0.0133060440421104,0.0755019932985306,-0.0894637703895569,-0.0380204766988754,-0.0195883773267269,-0.0952120572328568
14000.00,-0.0767086297273636,0.0271154660731554,0.0495931655168533,-0.0782769173383713,-0.0147353140637279,-0.0368883311748505,-0.0705934092402458
14933.33,-0.0479161739349365,0.0407290644943714,0.00718710944056511,-0.0524587146937847,0.0152995688840747,-0.0461676269769669,-0.0292317718267441
15866.67,-0.0329879187047482,0.042913194745779,-0.00992527604103088,-0.0354947336018085,0.0296476073563099,-0.046062596142292,-0.00413447245955467
16800.00,0.00698586832731962,0.0293062422424555,-0.0362921096384525,0.00429158285260201,0.0381684266030788,-0.0222680736333132,0.0312941446900368
17733.33,-0.0089520625770092,0.0290611069649458,-0.0201090443879366,-0.00508946878835559,0.0302476342767477,-0.022722527384758,0.0206027757376432
18666.67,-0.0681415125727654,0.0365580283105373,0.031583484262228,-0.0612481944262981,0.00628269230946898,-0.0537225231528282,-0.0300775915384293
19600.00,-0.0902639776468277,0.0287476535886526,0.0615163221955299,-0.0903698801994324,-0.0187577959150076,-0.0672513619065285,-0.0632109120488167
20533.33,-0.0772077739238739,0.0841138735413551,-0.00690609961748123,-0.0826887711882591,0.0425553433597088,-0.0929775238037109,-0.00181369110941887
