Time (microseconds),Ia,Ib,Ic,Controller.Ial,Controller.Ibet,Controller.Id,Controller.Iq
0.00,-0.20698669552803,-0.323540985584259,0.530527710914612,-0.245308548212051,-0.479761689901352,0.206907346844673,0.497520267963409
933.33,0.0665110424160957,-0.453596562147141,0.387085527181625,0.0481835827231407,-0.491342186927795,0.215640187263489,0.444108366966248
1866.67,0.282516926527023,-0.390834242105484,0.108317315578461,0.256949931383133,-0.328256487846375,0.175823122262955,0.377962350845337
2800.00,0.397775262594223,-0.192226946353912,-0.205548316240311,0.393316924571991,-0.0135791702196002,0.0749399363994598,0.386345505714417
3733.33,0.395595818758011,0.0803098082542419,-0.475905627012253,0.406861305236816,0.278216689825058,0.0526773482561111,0.490058064460754
4666.67,0.207245141267776,0.359664648771286,-0.566909790039063,0.225887507200241,0.526432752609253,0.0967527776956558,0.564612865447998
5600.00,-0.103912860155106,0.521476805210114,-0.417563945055008,-0.0561762750148773,0.551352679729462,0.116948425769806,0.541717231273651
6533.33,-0.401691138744354,0.555919408798218,-0.154228270053864,-0.384429574012756,0.423154205083847,0.116375625133514,0.559727072715759
7466.67,-0.596118986606598,0.438760608434677,0.157358378171921,-0.578192472457886,0.203031480312347,0.157038569450378,0.59232896566391
8400.00,-0.605883538722992,0.181449800729752,0.42443373799324,-0.6130211353302,-0.118608012795448,0.219170421361923,0.58465176820755
9333.33,-0.387646496295929,-0.144440740346909,0.532087206840515,-0.426927179098129,-0.361633062362671,0.216213449835777,0.516028821468353
10266.67,-0.0955594778060913,-0.395573884248734,0.491133362054825,-0.116051100194454,-0.507907330989838,0.194074675440788,0.483493715524673
11200.00,0.166699528694153,-0.52284163236618,0.356142103672028,0.13215771317482,-0.515972554683685,0.234600216150284,0.47816926240921
12133.33,0.366943627595901,-0.487779557704926,0.120835930109024,0.355898827314377,-0.368035763502121,0.274781286716461,0.431975990533829
13066.67,0.481016963720322,-0.318811923265457,-0.162205040454865,0.472753286361694,-0.129130110144615,0.268894463777542,0.409703969955444
14000.00,0.420959383249283,-0.0529870390892029,-0.36797234416008,0.431344598531723,0.163447678089142,0.252890706062317,0.385764896869659
14933.33,0.198076218366623,0.243872687220573,-0.441948890686035,0.238092184066772,0.372751295566559,0.208109498023987,0.390275239944458
15866.67,-0.120182327926159,0.45668888092041,-0.336506545543671,-0.0967496261000633,0.459214925765991,0.157444596290588,0.442091345787048
16800.00,-0.407607167959213,0.474032342433929,-0.0664251744747162,-0.374085783958435,0.3431596159935,0.135923653841019,0.489095240831375
17733.33,-0.545537531375885,0.346107512712479,0.199430018663406,-0.541973948478699,0.101498886942863,0.185030773282051,0.519417107105255
18666.67,-0.512988388538361,0.103833325207233,0.409155070781708,-0.525750815868378,-0.137137696146965,0.237163484096527,0.488838881254196
19600.00,-0.345887243747711,-0.178369224071503,0.524256467819214,-0.362632155418396,-0.39378947019577,0.260681509971619,0.467557966709137
20533.33,-0.0672242492437363,-0.402040660381317,0.469264924526215,-0.110483944416046,-0.496854245662689,0.258608728647232,0.438386827707291
21466.67,0.213061586022377,-0.495889246463776,0.28282767534256,0.195466160774231,-0.459302604198456,0.256688833236694,0.428101360797882
22400.00,0.419389516115189,-0.415513128042221,-0.00387638807296753,0.397655099630356,-0.273825526237488,0.241777881979942,0.417905509471893
23333.33,0.493648529052734,-0.198621809482574,-0.29502671957016,0.491731643676758,0.0328246168792248,0.228939309716225,0.436415404081345
24266.67,0.415876060724258,0.0986064821481705,-0.51448255777359,0.439631938934326,0.316834062337875,0.247871473431587,0.481880784034729
25200.00,0.136983171105385,0.370069742202759,-0.507052898406982,0.162852361798286,0.502684354782104,0.239481657743454,0.471014082431793
26133.33,-0.222560286521912,0.524291098117828,-0.301730811595917,-0.175270318984985,0.488087832927704,0.183707788586617,0.484965085983276
27066.67,-0.509912550449371,0.537017464637756,-0.027104914188385,-0.492706894874573,0.340810716152191,0.216371476650238,0.558647274971008
28000.00,-0.653635740280151,0.388627380132675,0.265008360147476,-0.645894289016724,0.110893607139587,0.305053174495697,0.580003380775452
28933.33,-0.560709595680237,0.127410963177681,0.433298647403717,-0.573708951473236,-0.160540446639061,0.369772851467133,0.467091739177704
29866.67,-0.32282754778862,-0.157925575971603,0.480753123760223,-0.362061709165573,-0.346633791923523,0.333743304014206,0.373965203762054
